,loss,acc,val_loss,val_acc
0,0.8568,0.7313,1.7334,0.4508
1,0.3855,0.8876,1.5739,0.6457
2,0.2625,0.9226,0.2933,0.9119
3,0.1813,0.9454,0.3195,0.9143
4,0.1453,0.9543,0.2534,0.9255
5,0.1081,0.9667,0.2663,0.9228
6,0.0912,0.9714,0.7024,0.8271
7,0.0937,0.9697,0.3573,0.9013
8,0.0744,0.9766,0.1714,0.9556
9,0.0504,0.986,0.3022,0.9212
10,0.0674,0.9786,0.262,0.9315
11,0.0512,0.9845,0.1981,0.9424
12,0.0346,0.9894,0.1769,0.9541
13,0.0472,0.9851,0.199,0.9454
14,0.0327,0.9891,0.1641,0.959
15,0.0237,0.9922,0.1692,0.9559
16,0.0368,0.9882,0.2586,0.9381
17,0.0234,0.9931,0.1854,0.9572
18,0.0348,0.991,0.2007,0.952
19,0.0439,0.9867,0.1682,0.955
20,0.0274,0.9914,0.2088,0.9439
21,0.0164,0.9951,0.2281,0.9439
22,0.0141,0.9953,0.3788,0.9031
23,0.0132,0.9963,0.218,0.9505
24,0.0577,0.9813,0.1881,0.9505
25,0.0149,0.9954,0.1971,0.955
26,0.0231,0.9923,0.2793,0.9336
27,0.0133,0.9955,0.1709,0.9629
28,0.0122,0.9966,0.1943,0.9578
29,0.0093,0.9972,0.2265,0.9529
30,0.0145,0.9958,0.1583,0.9605
31,0.0152,0.9965,0.2243,0.9514
32,0.0289,0.9899,0.276,0.9327
33,0.0277,0.9903,0.2045,0.9562
34,0.0108,0.997,0.216,0.9556
35,0.0075,0.9977,0.2007,0.9599
36,0.0066,0.998,0.2203,0.9547
37,0.0054,0.9988,0.2786,0.9393
38,0.0566,0.9826,0.2028,0.9578
39,0.0157,0.9969,0.1876,0.9608
40,0.0345,0.9884,0.1979,0.9575
41,0.0105,0.9972,0.1786,0.9635
42,0.014,0.9954,0.2066,0.9568
43,0.0052,0.9984,0.1718,0.9683
44,0.0065,0.9982,0.1791,0.9629
45,0.0104,0.997,0.2061,0.9602
46,0.006,0.9986,0.1904,0.9614
47,0.0195,0.9958,0.2152,0.9553
48,0.0137,0.9959,0.2163,0.9541
49,0.011,0.9975,0.2009,0.9584
50,0.0134,0.9962,0.1898,0.9611
51,0.0055,0.9985,0.1898,0.9653
52,0.0034,0.9991,0.2028,0.9575
53,0.0074,0.9974,0.2361,0.9544
54,0.0142,0.9959,0.4077,0.9086
55,0.014,0.9953,0.2078,0.9605
56,0.0135,0.9956,0.2127,0.9584
57,0.0084,0.9969,0.2659,0.9544
58,0.0146,0.9958,0.2553,0.9499
59,0.0235,0.9925,0.2506,0.9475
60,0.0136,0.9961,0.2035,0.9629
61,0.0038,0.9983,0.1914,0.9674
62,0.0055,0.9982,0.3343,0.936
63,0.0047,0.9989,0.1728,0.968
64,0.0219,0.9924,0.3198,0.9466
65,0.0068,0.9979,0.2386,0.9572
66,0.0066,0.9977,0.208,0.962
67,0.005,0.9982,0.1905,0.9668
68,0.0049,0.9984,0.1943,0.965
69,0.0055,0.9983,0.2749,0.9505
70,0.0085,0.997,0.429,0.9237
71,0.0049,0.9984,0.2001,0.9605
72,0.0082,0.9982,0.2178,0.962
73,0.0052,0.998,0.2308,0.9596
74,0.0115,0.9958,0.2139,0.9653
75,0.0063,0.9977,0.1946,0.9674
76,0.0045,0.9986,0.2837,0.9511
77,0.0042,0.9989,0.2271,0.9584
78,0.0042,0.999,0.2174,0.9593
79,0.0131,0.9954,0.2601,0.955
80,0.0064,0.9979,0.2301,0.9602
81,0.0044,0.9988,0.1967,0.9662
82,0.0065,0.9977,0.3101,0.9421
83,0.0065,0.9979,0.204,0.9638
84,0.0053,0.9985,0.2299,0.9599
85,0.0165,0.9946,0.2322,0.9602
86,0.0044,0.9987,0.1966,0.9635
87,0.0042,0.9986,0.2136,0.9653
88,0.0051,0.9986,0.2617,0.9581
89,0.0103,0.997,0.2445,0.9572
90,0.0069,0.9975,0.2219,0.9641
91,0.0033,0.9986,0.2426,0.9674
92,0.0041,0.9992,0.225,0.9632
93,0.0078,0.9978,0.2041,0.968
94,0.01,0.9977,0.7607,0.885
95,0.0161,0.9944,0.3088,0.949
96,0.0082,0.9986,0.2112,0.9632
97,0.0076,0.9971,0.2017,0.9668
98,0.0026,0.9992,0.1999,0.9638
99,0.0032,0.9989,0.2231,0.9623
100,0.0038,0.9986,0.2162,0.9617
101,0.0042,0.9984,0.2019,0.9671
102,0.0058,0.9985,0.211,0.9614
103,0.006,0.998,0.2184,0.9641
104,0.0036,0.9991,0.238,0.9568
105,0.0041,0.9988,0.2765,0.952
106,0.006,0.9983,0.2397,0.9614
107,0.0129,0.9984,0.2818,0.9568
108,0.0091,0.9971,0.2282,0.9575
109,0.017,0.995,0.2342,0.959
110,0.0074,0.9974,0.2091,0.9647
111,0.0028,0.999,0.2533,0.9565
112,0.0051,0.9988,0.2097,0.965
113,0.0039,0.9987,0.358,0.9309
114,0.0041,0.9985,0.2197,0.9632
115,0.0062,0.998,0.2384,0.9581
116,0.0022,0.9995,0.2225,0.9608
117,0.0029,0.999,0.2194,0.9602
118,0.0031,0.999,0.3522,0.9387
119,0.0024,0.9991,0.2017,0.9683
120,0.0025,0.9995,0.2387,0.9623
121,0.0042,0.9989,0.2237,0.9584
122,0.0037,0.9987,0.2751,0.9517
123,0.0034,0.999,0.2208,0.9689
124,0.0082,0.9989,0.3326,0.952
125,0.0091,0.9975,0.221,0.9644
126,0.0027,0.9989,0.2881,0.9526
127,0.0052,0.9984,0.2249,0.9653
128,0.0035,0.9991,0.2425,0.9626
129,0.0049,0.9992,0.3048,0.9562
130,0.0058,0.9978,0.2339,0.9632
131,0.0045,0.9985,0.2743,0.9587
132,0.0131,0.9985,0.2637,0.9596
133,0.0111,0.9965,0.2328,0.9677
134,0.0026,0.9989,0.2201,0.9659
135,0.0027,0.999,0.2248,0.9653
136,0.0026,0.9991,0.2311,0.9665
137,0.0016,0.9992,0.2757,0.9638
138,0.0014,0.9998,0.2296,0.9698
139,0.0028,0.9991,0.2883,0.959
140,0.0027,0.9992,0.259,0.9581
141,0.0039,0.9986,0.2509,0.9647
142,0.0025,0.9994,0.259,0.9562
143,0.0046,0.9986,0.244,0.9617
144,0.0048,0.9987,0.2354,0.9605
145,0.0074,0.999,0.3449,0.9372
146,0.0157,0.9965,0.2966,0.962
147,0.0064,0.9974,0.2571,0.9653
148,0.0024,0.9992,0.2591,0.9638
149,0.0033,0.9988,0.2704,0.965
150,0.0028,0.999,0.279,0.9596
151,0.0025,0.9993,0.2141,0.9644
152,0.0018,0.9995,0.2333,0.9629
153,0.0033,0.9991,0.2282,0.9698
154,0.0028,0.999,0.2411,0.9665
155,0.0088,0.9995,0.658,0.9149
156,0.0159,0.9949,0.2832,0.9593
157,0.0049,0.9985,0.2802,0.9572
158,0.0042,0.999,0.2465,0.9647
159,0.0047,0.9987,0.2538,0.9641
160,0.0019,0.9995,0.2417,0.9653
161,0.0014,0.9996,0.2432,0.9617
162,0.004,0.9992,0.2389,0.9671
163,0.0049,0.9984,0.2656,0.9568
164,0.0027,0.9992,0.3031,0.9608
165,0.0036,0.9991,0.3015,0.9556
166,0.0094,0.9968,0.2299,0.9635
167,0.0076,0.998,0.641,0.9107
168,0.0121,0.9962,0.2943,0.9599
169,0.0025,0.9989,0.2358,0.965
170,0.0018,0.9997,0.2502,0.9668
171,0.0017,0.9993,0.2362,0.9671
172,0.0013,0.9995,0.2344,0.9689
173,0.0021,0.9994,0.2524,0.9644
174,0.0035,0.9989,0.3256,0.955
175,0.0046,0.9986,0.2386,0.9647
176,0.00065424,0.9998,0.2521,0.9647
177,0.0019,0.9993,0.302,0.9514
178,0.0078,0.9985,0.2448,0.9668
179,0.0136,0.9972,0.2412,0.9647
180,0.0079,0.9978,0.2522,0.968
181,0.0158,0.9974,0.2736,0.9623
182,0.007,0.998,0.2415,0.9641
183,0.003,0.9991,0.2177,0.9671
184,0.0024,0.9995,0.2287,0.9671
185,0.0011,0.9996,0.2309,0.9659
186,0.0027,0.9993,0.2369,0.965
187,0.0031,0.9989,0.2539,0.9614
188,0.0034,0.9986,0.3196,0.9538
189,0.0069,0.9992,0.2621,0.9638
190,0.0032,0.9989,0.2479,0.9653
191,0.0031,0.999,0.2771,0.9602
192,0.0019,0.9994,0.2713,0.9605
193,0.0022,0.9992,0.3229,0.9568
194,0.0149,0.9995,0.2357,0.9674
195,0.0048,0.9986,0.236,0.968
196,0.0011,0.9998,0.2295,0.9683
197,0.0049,0.9986,0.3353,0.9487
198,0.0034,0.9989,0.306,0.9587
199,0.0014,0.9996,0.2511,0.9701
200,0.0016,0.9992,0.2386,0.9665
201,0.0019,0.9992,0.2701,0.9644
202,0.0029,0.9988,0.2769,0.9608
203,0.0021,0.9994,0.3294,0.9541
204,0.0032,0.999,0.2756,0.959
205,0.0045,0.9994,0.272,0.9671
206,0.006,0.998,0.2566,0.9623
207,0.0019,0.9991,0.2574,0.9614
208,0.0033,0.9991,0.2998,0.9578
209,0.0074,0.9986,0.2755,0.9638
210,0.0055,0.9985,0.275,0.9611
211,0.0044,0.9986,0.2863,0.9647
212,0.0017,0.9992,0.2862,0.962
213,0.0014,0.9994,0.3037,0.9565
214,0.0064,0.9992,0.2604,0.9656
215,0.0187,0.9972,0.2892,0.9629
216,0.005,0.9983,0.282,0.9626
217,0.0016,0.9995,0.2786,0.9638
218,0.0011,0.9996,0.2622,0.9647
219,0.0029,0.9987,0.5241,0.9357
220,0.0022,0.9992,0.2821,0.9647
221,0.0087,0.9969,0.2758,0.9638
222,0.0032,0.9989,0.2562,0.9626
223,0.0028,0.9993,0.2421,0.9668
224,0.0127,0.9993,0.2407,0.9668
225,0.0061,0.9975,0.2524,0.9692
226,0.0019,0.9993,0.2452,0.9656
227,0.0018,0.9994,0.2468,0.9659
228,0.0018,0.9995,0.2641,0.968
229,0.0007284,0.9997,0.2435,0.9704
230,0.0012,0.9996,0.2534,0.9695
231,0.0036,0.9991,0.2523,0.9692
232,0.018,0.9951,0.4156,0.9475
233,0.0081,0.997,0.2388,0.9641
234,0.0037,0.9989,0.2382,0.9683
235,0.0021,0.9992,0.2401,0.9683
236,0.0022,0.9994,0.2379,0.9689
237,0.0039,0.9998,0.241,0.9683
238,0.007,0.9974,0.2626,0.9653
239,0.0036,0.9986,0.2625,0.9638
